Conv2 Test
    27   1    1    1
    1    1    1    1       0.0     0.0       0.0
    2    1    1    1       0.5     0.0       0.0
    3    1    1    1       1.0     0.0       0.0 
    4    1    1    1       0.0     0.5       0.0
    5    1    1    1       0.5     0.5       0.0
    6    1    1    1       1.0     0.5       0.0
    7    1    1    1       0.0     1.0       0.0
    8    1    1    1       0.5     1.0       0.0
    9    1    1    1       1.0     1.0       0.0
    10   0    0    0       0.0     0.0       0.5
    11   0    0    0       0.5     0.0       0.5
    12   0    0    0       1.0     0.0       0.5
    13   0    0    0       0.0     0.5       0.5
    14   0    0    0       0.5     0.5       0.5
    15   0    0    0       1.0     0.5       0.5
    16   0    0    0       0.0     1.0       0.5
    17   0    0    0       0.5     1.0       0.5
    18   0    0    0       1.0     1.0       0.5
    19   0    0    0       0.0     0.0       1.0
    20   0    0    0       0.5     0.0       1.0
    21   0    0    0       1.0     0.0       1.0
    22   0    0    0       0.0     0.5       1.0
    23   0    0    0       0.5     0.5       1.0
    24   0    0    0       1.0     0.5       1.0
    25   0    0    0       0.0     1.0       1.0
    26   0    0    0       0.5     1.0       1.0
    27   0    0    0       1.0     1.0       1.0
    1    27
    1    3    -0.15625
    2    3    -0.3125
    3    3    -0.15625
    4    3    -0.3125
    5    3    -0.625
    6    3    -0.3125
    7    3    -0.15625
    8    3    -0.3125
    9    3    -0.15625
    10   3    -0.3125
    11   3    -0.625
    12   3    -0.3125
    13   3    -0.625
    14   3    -1.25
    15   3    -0.625
    16   3    -0.3125
    17   3    -0.625
    18   3    -0.3125
    19   3    -0.15625
    20   3    -0.3125
    21   3    -0.15625
    22   3    -0.3125
    23   3    -0.625
    24   3    -0.3125
    25   3    -0.15625
    26   3    -0.3125
    27   3    -0.15625
    4    8    1
    1    1000    0.0
    1    1    2    5    4    10    11    14    13    1
    2    2    3    6    5    11    12    15    14    1
    3    4    5    8    7    13    14    17    16    1
    4    5    6    9    8    14    15    18    17    1
    5    10   11   14   13   19    20    23    22    1
    6    11   12   15   14   20    21    24    23    1
    7    13   14   17   16   22    23    26    25    1
    8    14   15   18   17   23    24    27    26    1
    
